ch,gOSNR,OSNR
1,26.322475,27.934439
2,26.321692,27.933304
3,26.320909,27.932170
4,26.320126,27.931036
5,26.319344,27.929902
6,26.318562,27.928768
7,26.317779,27.927635
8,26.316997,27.926502
9,26.316215,27.925369
10,26.315433,27.924237
11,26.314652,27.923105
12,26.313870,27.921973
13,26.313089,27.920841
14,26.312308,27.919710
15,26.311526,27.918579
16,26.310746,27.917449
17,26.309965,27.916318
18,26.309184,27.915188
19,26.308403,27.914058
20,26.307623,27.912929
21,26.306843,27.911800
22,26.306063,27.910671
23,26.305283,27.909542
24,26.304503,27.908414
25,26.303723,27.907286
26,26.302944,27.906158
27,26.302164,27.905031
28,26.301385,27.903904
29,26.300606,27.902777
30,26.299827,27.901651
31,26.299048,27.900524
32,26.298269,27.899398
33,26.297490,27.898273
34,26.296712,27.897147
35,26.295934,27.896022
36,26.295156,27.894897
37,26.294378,27.893773
38,26.293600,27.892649
39,26.292822,27.891525
40,26.292044,27.890401
41,26.291267,27.889278
42,26.290489,27.888155
43,26.289712,27.887032
44,26.288935,27.885910
45,26.288158,27.884788
46,26.287381,27.883666
