ch	gOSNR	OSNR
9	8.707658	30.383578
18	8.707588	30.373398
27	8.707519	30.363242
36	8.70745	30.353109
45	8.707381	30.343
54	8.707311	30.332914
63	8.707242	30.322852
72	8.707173	30.312813
81	8.707104	30.302797
90	8.707034	30.292804
8	8.707665	30.384711
16	8.707604	30.375658
24	8.707542	30.366625
32	8.707481	30.35761
40	8.707419	30.348613
48	8.707358	30.339635
56	8.707296	30.330676
64	8.707234	30.321735
72	8.707173	30.312813
80	8.707111	30.303909
88	8.70705	30.295023
7	8.707673	30.385844
14	8.707619	30.37792
21	8.707565	30.37001
28	8.707512	30.362115
35	8.707458	30.354234
42	8.707404	30.346367
49	8.70735	30.338514
56	8.707296	30.330676
63	8.707242	30.322852
70	8.707188	30.315042
77	8.707134	30.307246
84	8.70708	30.299463
6	8.707681	30.386977
12	8.707635	30.380182
18	8.707588	30.373398
24	8.707542	30.366625
30	8.707496	30.359862
36	8.70745	30.353109
42	8.707404	30.346367
48	8.707358	30.339635
54	8.707311	30.332914
60	8.707265	30.326203
66	8.707219	30.319503
72	8.707173	30.312813
78	8.707127	30.306133
6	8.707681	30.386977
12	8.707635	30.380182
18	8.707588	30.373398
24	8.707542	30.366625
30	8.707496	30.359862
36	8.70745	30.353109
42	8.707404	30.346367
48	8.707358	30.339635
54	8.707311	30.332914
60	8.707265	30.326203
66	8.707219	30.319503
72	8.707173	30.312813
78	8.707127	30.306133
84	8.70708	30.299463
6	8.707681	30.386977
12	8.707635	30.380182
18	8.707588	30.373398
24	8.707542	30.366625
30	8.707496	30.359862
36	8.70745	30.353109
42	8.707404	30.346367
48	8.707358	30.339635
54	8.707311	30.332914
60	8.707265	30.326203
66	8.707219	30.319503
72	8.707173	30.312813
78	8.707127	30.306133
84	8.70708	30.299463
90	8.707034	30.292804
5	8.707689	30.388111
10	8.70765	30.382446
15	8.707612	30.376789
20	8.707573	30.371139
25	8.707535	30.365497
30	8.707496	30.359862
35	8.707458	30.354234
40	8.707419	30.348613
45	8.707381	30.343
50	8.707342	30.337394
55	8.707304	30.331795
60	8.707265	30.326203
65	8.707227	30.320619
70	8.707188	30.315042
75	8.70715	30.309472
80	8.707111	30.303909
5	8.707689	30.388111
10	8.70765	30.382446
15	8.707612	30.376789
20	8.707573	30.371139
25	8.707535	30.365497
30	8.707496	30.359862
35	8.707458	30.354234
40	8.707419	30.348613
45	8.707381	30.343
50	8.707342	30.337394
55	8.707304	30.331795
60	8.707265	30.326203
65	8.707227	30.320619
70	8.707188	30.315042
75	8.70715	30.309472
80	8.707111	30.303909
85	8.707073	30.298353
5	8.707689	30.388111
10	8.70765	30.382446
15	8.707612	30.376789
20	8.707573	30.371139
25	8.707535	30.365497
30	8.707496	30.359862
35	8.707458	30.354234
40	8.707419	30.348613
45	8.707381	30.343
50	8.707342	30.337394
55	8.707304	30.331795
60	8.707265	30.326203
65	8.707227	30.320619
70	8.707188	30.315042
75	8.70715	30.309472
80	8.707111	30.303909
85	8.707073	30.298353
90	8.707034	30.292804
4	8.707696	30.389244
8	8.707665	30.384711
