*** Plotting network topology to gConfigThreeRoadms.png
*** r1.install_switch_rule: [3, [6]]: 3
*** r1.install_switch_rule: [3, [6]]: 3
*** r1.check_switch_rule: removing switch rule (3, 6): 3
*** r1.remove_switch_rule: [3, 6]: 3
*** r1.install_switch_rule: [4, [12]]: 4
*** r1.install_switch_rule: [4, [12]]: 4
*** r1.check_switch_rule: removing switch rule (4, 12): 4
*** r1.remove_switch_rule: [4, 12]: 4
*** r1.install_switch_rule: [5, [18]]: 5
*** r1.install_switch_rule: [5, [18]]: 5
*** r1.check_switch_rule: removing switch rule (5, 18): 5
*** r1.remove_switch_rule: [5, 18]: 5
mininet-optical> *** r1.install_switch_rule: [6, [24]]: 6
*** r1.install_switch_rule: [6, [24]]: 6
*** r1.check_switch_rule: removing switch rule (6, 24): 6
*** r1.remove_switch_rule: [6, 24]: 6
*** r2.install_switch_rule: [7, [30]]: 7
*** r2.install_switch_rule: [7, [30]]: 7
*** r2.check_switch_rule: removing switch rule (7, 30): 7
*** r2.remove_switch_rule: [7, 30]: 7
*** r2.install_switch_rule: [9, [42]]: 9
*** r2.install_switch_rule: [9, [42]]: 9
*** r2.check_switch_rule: removing switch rule (9, 42): 9
*** r2.remove_switch_rule: [9, 42]: 9
*** r2.install_switch_rule: [11, [54]]: 11
*** r2.install_switch_rule: [11, [54]]: 11
*** r2.check_switch_rule: removing switch rule (11, 54): 11
*** r2.remove_switch_rule: [11, 54]: 11
*** r2.install_switch_rule: [13, [66]]: 13
*** r2.install_switch_rule: [13, [66]]: 13
*** r2.check_switch_rule: removing switch rule (13, 66): 13
*** r2.remove_switch_rule: [13, 66]: 13
*** r2.install_switch_rule: [15, [78]]: 15
*** r2.install_switch_rule: [15, [78]]: 15
*** r2.check_switch_rule: removing switch rule (15, 78): 15
*** r2.remove_switch_rule: [15, 78]: 15
*** r3.install_switch_rule: [17, [90]]: 17
*** r3.install_switch_rule: [17, [90]]: 17
*** r3.check_switch_rule: removing switch rule (17, 90): 17
*** r3.remove_switch_rule: [17, 90]: 17
*** r3.install_switch_rule: [18, [96]]: 18
*** r3.install_switch_rule: [18, [96]]: 18
*** r3.check_switch_rule: removing switch rule (18, 96): 18
*** r3.remove_switch_rule: [18, 96]: 18
*** r3.install_switch_rule: [19, [102]]: 19
*** r3.install_switch_rule: [19, [102]]: 19
*** r3.check_switch_rule: removing switch rule (19, 102): 19
*** r3.remove_switch_rule: [19, 102]: 19
*** r3.install_switch_rule: [20, [108]]: 20
*** r3.install_switch_rule: [20, [108]]: 20
*** r3.check_switch_rule: removing switch rule (20, 108): 20
*** r3.remove_switch_rule: [20, 108]: 20
*** r3.install_switch_rule: [21, [114]]: 21
*** r3.install_switch_rule: [21, [114]]: 21
*** r3.check_switch_rule: removing switch rule (21, 114): 21
*** r3.remove_switch_rule: [21, 114]: 21
*** r1.install_switch_rule: [300, [40]]: 300
*** r1.install_switch_rule: [300, [40]]: 300
*** r1.check_switch_rule: removing switch rule (300, 40): 300
*** r1.remove_switch_rule: [300, 40]: 300
*** r2.install_switch_rule: [310, [40]]: 310
*** r2.install_switch_rule: [310, [40]]: 310
*** r2.check_switch_rule: removing switch rule (310, 40): 310
*** r2.remove_switch_rule: [310, 40]: 310
*** r2.install_switch_rule: [400, [50]]: 400
*** r2.install_switch_rule: [400, [50]]: 400
*** r2.check_switch_rule: removing switch rule (400, 50): 400
*** r2.remove_switch_rule: [400, 50]: 400
