t,ch,freq,gOSNR,OSNR
t1,1,191.35,23.315798,24.787531
t2,2,191.4,23.31499,24.786396
t3,3,191.45,23.314181,24.785262
t4,4,191.5,23.313373,24.784128
t5,5,191.55,23.312565,24.782994
t6,6,191.6,23.311757,24.78186
t7,7,191.65,23.310949,24.780727
t8,8,191.7,23.310141,24.779594
t9,9,191.75,23.309334,24.778462
t10,10,191.8,23.308526,24.777329
t11,11,191.85,23.307719,24.776197
t12,12,191.9,23.306912,24.775066
t13,13,191.95,23.306105,24.773934
t14,14,192.0,23.305298,24.772803
t15,15,192.05,23.304492,24.771672
t16,16,192.1,23.303685,24.770542
t17,17,192.15,23.302879,24.769411
t18,18,192.2,23.302073,24.768281
t19,19,192.25,23.301267,24.767152
t20,20,192.3,23.300461,24.766022
t21,21,192.35,23.299655,24.764893
t22,22,192.4,23.298849,24.763764
t23,23,192.45,23.298044,24.762636
t24,24,192.5,23.297239,24.761508
t25,25,192.55,23.296434,24.76038
t26,26,192.6,23.295629,24.759252
t27,27,192.65,23.294824,24.758125
t28,28,192.7,23.294019,24.756998
t29,29,192.75,23.293215,24.755871
t30,30,192.8,23.29241,24.754744
t31,31,192.85,23.291606,24.753618
t32,32,192.9,23.290802,24.752492
t33,33,192.95,23.289998,24.751367
t34,34,193.0,23.289194,24.750242
t35,35,193.05,23.28839,24.749117
t36,36,193.1,23.287587,24.747992
t37,37,193.15,23.286784,24.746867
t38,38,193.2,23.28598,24.745743
t39,39,193.25,23.285177,24.744619
t40,40,193.3,23.284374,24.743496
t41,41,193.35,23.283572,24.742373
t42,42,193.4,23.282769,24.74125
t43,43,193.45,23.281967,24.740127
t44,44,193.5,23.281164,24.739005
t45,45,193.55,23.280362,24.737883
t46,46,193.6,23.27956,24.736761
t47,47,193.65,23.278758,24.735639
t48,48,193.7,23.277957,24.734518
t49,49,193.75,23.277155,24.733397
t50,50,193.8,23.276354,24.732276
t51,51,193.85,23.275552,24.731156
t52,52,193.9,23.274751,24.730036
t53,53,193.95,23.27395,24.728916
t54,54,194.0,23.273149,24.727797
t55,55,194.05,23.272349,24.726677
t56,56,194.1,23.271548,24.725559
t57,57,194.15,23.270748,24.72444
t58,58,194.2,23.269947,24.723322
t59,59,194.25,23.269147,24.722204
t60,60,194.3,23.268347,24.721086
t61,61,194.35,23.267548,24.719968
t62,62,194.4,23.266748,24.718851
t63,63,194.45,23.265949,24.717734
t64,64,194.5,23.265149,24.716618
t65,65,194.55,23.26435,24.715501
t66,66,194.6,23.263551,24.714385
t67,67,194.65,23.262752,24.713269
t68,68,194.7,23.261953,24.712154
t69,69,194.75,23.261155,24.711039
t70,70,194.8,23.260356,24.709924
t71,71,194.85,23.259558,24.708809
t72,72,194.9,23.25876,24.707695
t73,73,194.95,23.257962,24.706581
t74,74,195.0,23.257164,24.705467
t75,75,195.05,23.256366,24.704354
t76,76,195.1,23.255568,24.703241
t77,77,195.15,23.254771,24.702128
t78,78,195.2,23.253974,24.701015
t79,79,195.25,23.253176,24.699903
t80,80,195.3,23.252379,24.698791
t81,81,195.35,23.251583,24.697679
t82,82,195.4,23.250786,24.696567
t83,83,195.45,23.249989,24.695456
t84,84,195.5,23.249193,24.694345
t85,85,195.55,23.248397,24.693235
